Date,Open,High,Low,Close,Adj Close,Volume
2021-01-28,3235.040039,3301.679932,3228.689941,3237.620117,3237.620117,3149228
2021-01-29,3230.000000,3236.989990,3184.550049,3206.199951,3206.199951,4293556
2021-02-01,3242.360107,3350.260010,3235.024902,3342.879883,3342.879883,4160212
2021-02-02,3380.000000,3427.739990,3361.125000,3380.000000,3380.000000,7098637
2021-02-03,3425.010010,3434.000000,3308.620117,3312.530029,3312.530029,7088781
2021-02-04,3330.000000,3347.000000,3277.750000,3331.000000,3331.000000,3670661
2021-02-05,3319.000000,3377.000000,3302.709961,3352.149902,3352.149902,3620808
2021-02-08,3358.500000,3365.000000,3304.000000,3322.939941,3322.939941,3257391
2021-02-09,3312.489990,3338.000000,3297.840088,3305.000000,3305.000000,2203526
2021-02-10,3314.000000,3317.954834,3254.000000,3286.580078,3286.580078,3151550
2021-02-11,3292.000000,3292.000000,3248.060059,3262.129883,3262.129883,2301417
2021-02-12,3250.000000,3280.250000,3233.310059,3277.709961,3277.709961,2335339
2021-02-16,3254.050049,3308.300049,3253.591064,3268.949951,3268.949951,2574721
2021-02-17,3263.600098,3320.909912,3259.499512,3308.639893,3308.639893,3302099
2021-02-18,3282.419922,3338.000000,3273.939941,3328.229980,3328.229980,3033607
2021-02-19,3328.229980,3333.500000,3245.750000,3249.899902,3249.899902,4305184
2021-02-22,3208.129883,3232.319824,3172.260010,3180.739990,3180.739990,3515679
2021-02-23,3127.030029,3204.729980,3093.600098,3194.500000,3194.500000,4677222
2021-02-24,3166.750000,3171.229980,3125.379883,3159.530029,3159.530029,3011275
2021-02-25,3136.739990,3178.260010,3047.760010,3057.159912,3057.159912,4533801
2021-02-26,3095.199951,3122.439941,3036.699951,3092.929932,3092.929932,4275930
2021-03-01,3127.889893,3149.560059,3097.989990,3146.139893,3146.139893,2733963
2021-03-02,3143.469971,3163.520020,3087.120117,3094.530029,3094.530029,2595762
2021-03-03,3081.179932,3107.774902,2995.000000,3005.000000,3005.000000,3988725
2021-03-04,3012.000000,3058.129883,2945.429932,2977.570068,2977.570068,5481578
2021-03-05,3005.000000,3009.000000,2881.000000,3000.459961,3000.459961,5388551
2021-03-08,3015.000000,3064.590088,2951.310059,2951.949951,2951.949951,4185008
2021-03-09,3017.989990,3090.959961,3005.147461,3062.850098,3062.850098,4030032
2021-03-10,3098.449951,3116.459961,3030.050049,3057.639893,3057.639893,3012489
2021-03-11,3104.010010,3131.784180,3082.929932,3113.590088,3113.590088,2776391
2021-03-12,3075.000000,3098.979980,3045.500000,3089.489990,3089.489990,2421888
2021-03-15,3074.570068,3082.239990,3032.090088,3081.679932,3081.679932,2918592
2021-03-16,3104.969971,3128.909912,3075.860107,3091.860107,3091.860107,2538764
2021-03-17,3073.219971,3173.050049,3070.219971,3135.729980,3135.729980,3118584
2021-03-18,3101.000000,3116.629883,3025.000000,3027.989990,3027.989990,3657027
